SAFETY_NO,SAFETY_CODE,SAFETY_NM,SAFETY_ADDR,SAFETY_EMD,SAFETY_LONG,SAFETY_LAT,SAFETY_X,SAFETY_Y,SAFETY_GEOM
SFT0000983,공공안전시설물현황(B),성산1수문,null,서울특별시 마포구 성산동 98-1,,,14127787.09,4518204.28799999,
SFT0000984,공공안전시설물현황(B),모래내지하차도,null,서울특별시 마포구 성산2동 121번지,,,14127498.8,4518726.08499999,
SFT0000985,공공안전시설물현황(B),난지빗물펌프장,서울특별시 마포구 가양대로 1,서울특별시 마포구 가양대로 1,,,14122437.33,4519842.796,
SFT0000986,공공안전시설물현황(B),S-PLEXCENTER,서울특별시 마포구 매봉산로 31,서울특별시 마포구 상암동 1648,,,14125326.68,4519662.33399999,
SFT0000987,공공안전시설물현황(B),난지중앙연결 브릿지,null,서울특별시 마포구 상암동 482-415,,,14123974.27,4518512.31599999,
SFT0000988,공공안전시설물현황(A),6호선 (6119) DMC역~월드컵경기장역간 터널,null,서울특별시 마포구 상암동 1170-3,,,14126483.48,4519562.08999999,
SFT0000989,공공안전시설물현황(B),상암월드컵아파트1단지 103동,서울특별시 마포구 월드컵북로47길 8,서울특별시 마포구 상암동 월드컵북로47길 8 상암월드컵아파트 1단지 103동,,,14125691.72,4519591.99299999,
SFT0000990,공공안전시설물현황(B),불광천복개-2,null,서울특별시 마포구 상암동 541~543,,,14124256.69,4521472.148,
SFT0000991,공공안전시설물현황(B),난지배수문(이중),null,서울특별시 마포구 상암동 579-2,,,14124170.76,4521066.07899999,
SFT0000992,공공안전시설물현황(A),직결선 터널(상선),서울특별시 마포구 성암로 164,서울특별시 마포구 성암로 164 (상암동),,,14126526.36,4519667.62899999,
SFT0000993,공공안전시설물현황(B),상암월드컵아파트1단지 104동,서울특별시 마포구 월드컵북로47길 8,서울특별시 마포구 상암동 월드컵북로47길 8 상암월드컵아파트 1단지 104동,,,14125691.72,4519591.99299999,
SFT0000994,공공안전시설물현황(A),상암월드컵아파트1단지 101동,서울특별시 마포구 월드컵북로47길 8,서울특별시 마포구 상암동 월드컵북로47길 8 상암월드컵아파트 1단지 101동,,,14125691.72,4519591.99299999,
SFT0000995,공공안전시설물현황(B),망원5교,null,서울특별시 마포구 상암동 1537-4,,,14125678.86,4517249.54899999,
SFT0000996,공공안전시설물현황(B),DMC첨단산업센터,서울특별시 마포구 성암로 330,서울특별시 마포구 성암로 330 (상암동),,,14124869.4,4520927.598,
SFT0000997,공공안전시설물현황(A),상암월드컵아파트1단지 102동,서울특별시 마포구 월드컵북로47길 8,서울특별시 마포구 상암동 월드컵북로47길 8 상암월드컵아파트 1단지 102동,,,14125691.72,4519591.99299999,
SFT0000998,공공안전시설물현황(B),상암월드컵아파트1단지 106동,서울특별시 마포구 월드컵북로47길 8,서울특별시 마포구 상암동 월드컵북로47길 8 상암월드컵아파트 1단지 106동,,,14125691.72,4519591.99299999,
SFT0000999,공공안전시설물현황(B),상암월드컵8단지상암새천년주거 8단지 811동,서울특별시 마포구 월드컵로42길 12,서울특별시 마포구 상암동 1674,,,14124560.95,4519940.5,
SFT0001000,공공안전시설물현황(B),상암월드컵아파트1단지 105동,서울특별시 마포구 월드컵북로47길 8,서울특별시 마포구 상암동 월드컵북로47길 8 상암월드컵아파트 1단지 105동,,,14125691.72,4519591.99299999,
SFT0001001,공공안전시설물현황(B),망원3교,null,서울특별시 마포구 상암동 1537-4,,,14125678.86,4517249.54899999,
SFT0001002,공공안전시설물현황(B),망원2교,null,서울특별시 마포구 상암동 1537-5,,,14125723.46,4517314.608,
SFT0001003,공공안전시설물현황(B),마포자원회수시설,서울특별시 마포구 하늘공원로 108-1,서울특별시 마포구 상암동 481-6번지(하늘공원 노을공원 사이),,,14124080.11,4518831.20899999,
SFT0001004,공공안전시설물현황(B),상암월드컵8단지상암새천년주거 8단지 812동,서울특별시 마포구 월드컵로42길 12,서울특별시 마포구 상암동 월드컵로42길 12 상암월드컵8단지 802동,,,14124560.95,4519940.5,
SFT0001005,공공안전시설물현황(B),난지제,null,서울특별시 마포구 상암동 1536-1,,,14125309.94,4517443.82899999,
SFT0001006,공공안전시설물현황(B),난지빗물펌프장(2동),서울특별시 마포구 가양대로 1,"서울특별시 마포구 가양대로 1, 난지빗물펌프장 (상암동)",,,14122437.33,4519842.796,
SFT0001007,공공안전시설물현황(B),월드컵대교(접속교),null,서울특별시 마포구 상암동 487일원,,,14124297.74,4518544.02799999,
SFT0001008,공공안전시설물현황(B),망원4교,null,서울특별시 마포구 상암동 1537-1,,,14125594.29,4517370.02099999,
