SAFETY_NO,SAFETY_CODE,SAFETY_NM,SAFETY_ADDR,SAFETY_EMD,SAFETY_LONG,SAFETY_LAT,SAFETY_X,SAFETY_Y,SAFETY_GEOM
SFT0014515,약국,신촌온누리약국,"서울특별시 마포구 백범로 28, 제2서강빌딩 105호 (신수동)",,126.9370655513553,37.55261886561541,14130569.49996926,4516417.22066637,
SFT0014516,약국,아름다운약국,"서울특별시 마포구 마포대로24길 56, 1층 (아현동, 보령빌딩)",,126.96207630567257,37.55149462004959,14133353.684404215,4516259.361865631,
SFT0014571,약국,아이비약국,서울특별시 마포구 만리재로 14 (공덕동) 르네상스타워 지하1층 12호,,126.95275875695894,37.54401130628534,14132316.45962597,4515208.667279687,
SFT0014572,약국,아카데미약국,"서울특별시 마포구 마포대로 52, 206호 (도화동,고려아카데미텔)",,126.94766109855231,37.54033780884478,14131748.990887908,4514692.928506934,
SFT0014573,약국,아현종로약국,"서울특별시 마포구 굴레방로9길 2, 1층 (아현동)",,126.955630618336,37.55699872981947,14132636.153772095,4517032.233670986,
SFT0014574,약국,안녕약국,"서울특별시 마포구 월드컵북로54길 25, 상암DMC푸르지오시티, S-City 오피스텔동 111호 (상암동)",,126.888984720113,37.5820926424763,14125217.16631845,4520556.5748877525,
SFT0014575,약국,안생약국,"서울특별시 마포구 와우산로 22, (상수동)",,126.92316015458493,37.54632505804606,14129021.558281504,4515533.518305241,
SFT0014576,약국,애오개약국,"서울특별시 마포구 마포대로 204, 103호 (아현동, 마포에스케이허브)",,126.95653436682082,37.55202195922599,14132736.75859323,4516333.406895597,
SFT0014577,약국,연남약국,서울특별시 마포구 양화로21길 31  (동교동),,126.924498193749,37.5595015779604,14129170.50811991,4517383.695536494,
SFT0014578,약국,연세약국,"서울특별시 마포구 성미산로10길 44, (서교동)",,126.91511303249199,37.55760724974541,14128125.756747767,4517117.683853228,
SFT0014579,약국,연세참사랑약국,서울특별시 마포구 서강로 110 1층 (신수동),,126.93353497543262,37.55232136082345,14130176.478055341,4516375.446865711,
SFT0014580,약국,연세프라자약국,서울특별시 마포구 서강로 97,,126.93236292169901,37.55192784829243,14130046.005630532,4516320.192502544,
SFT0014581,약국,열린약국,"서울특별시 마포구 신촌로 16, 1층 (동교동)",,126.92808828218364,37.558019565285015,14129570.154936356,4517175.582827178,
SFT0014582,약국,영진약국,서울특별시 마포구 망원로8길 67,,126.9060414462023,37.55454399533399,14127115.91238131,4516687.539620869,
SFT0014583,약국,예진약국,서울특별시 마포구 월드컵북로 402  (상암동),,126.88916766935219,37.58015324599358,14125237.532134598,4520284.151943326,
SFT0014584,약국,오즈약국,"서울특별시 마포구 토정로31길 24, 상가동 B117호 (용강동, e편한세상마포3차아파트)",,126.94383179084127,37.54244836969298,14131322.714303425,4514989.236499505,
SFT0014585,약국,온누리미소약국,"서울특별시 마포구 월드컵로 29, 지하2층 (합정동, JH빌딩)",,126.91209998212461,37.552054905357856,14127790.345515138,4516338.032962842,
SFT0014586,약국,온누리약국,서울특별시 마포구 월드컵북로 126,,126.91303756194448,37.564215259711155,14127894.716423262,4518045.645251759,
