SAFETY_NO,SAFETY_CODE,SAFETY_NM,SAFETY_ADDR,SAFETY_EMD,SAFETY_LONG,SAFETY_LAT,SAFETY_X,SAFETY_Y,SAFETY_GUBUN
SFT0027972,편의점(509010),지에스25공덕제니스,서울특별시 마포구 마포대로7길 23,서울특별시 마포구 공덕동 373-9,,,14132213.07,4515668.014,편의점
SFT0028127,편의점(509010),GS25마포성산로점,서울특별시 마포구 월드컵북로 204,서울특별시 마포구 성산동 148-51,,,14127148.85,4518711.268,편의점
SFT0028140,편의점(509010),이마트,서울특별시 마포구 양화로6길 39,서울특별시 마포구 서교동 394-14,,,14128268.47,4515912.812,편의점
SFT0028147,편의점(509010),CU,서울특별시 마포구 월드컵로31길 11,서울특별시 마포구 망원동 473-2,,,14126897.58,4517669.438,편의점
SFT0028150,편의점(509010),GS25,서울특별시 마포구 와우산로 53,서울특별시 마포구 상수동 91-2,,,14128987.45,4515943.882,편의점
SFT0028151,편의점(509010),CU,서울특별시 마포구 만리재로 111,서울특별시 마포구 공덕동 29-5,,,14133157.38,4516058.081,편의점
SFT0028159,편의점(509010),GS25,서울특별시 마포구 성미산로 158,서울특별시 마포구 연남동 239-46,,,14129091.7,4518070.713,편의점
SFT0028164,편의점(509010),CU,서울특별시 마포구 고산길 30,서울특별시 마포구 노고산동 12-74,,,14130761.66,4516579.019,편의점
SFT0028169,편의점(509010),GS25,서울특별시 마포구 월드컵북로54길 17,서울특별시 마포구 상암동 1597,,,14125166.39,4520447.036,편의점
SFT0028322,편의점(509010),GS25마포현대점,서울특별시 마포구 토정로 233,서울특별시 마포구 신수동 442-1,,,14130512.31,4515227.564,편의점
SFT0028335,편의점(509010),GS25,서울특별시 마포구 월드컵로 190,서울특별시 마포구 성산동 592,,,14126815.14,4517932.93,편의점
SFT0028344,편의점(509010),세븐일레븐서강쌍용예가점,서울특별시 마포구 독막로 147-10,서울특별시 마포구 창전동 299,,,14129817.16,4515764.893,편의점
SFT0028353,편의점(509010),미니스톱,서울특별시 마포구 월드컵로36길 50,서울특별시 마포구 성산동 160-4,,,14127069.31,4518615.429,편의점
SFT0028360,편의점(509010),GS25,서울특별시 마포구 마포대로 155,서울특별시 마포구 공덕동 275,,,14132414.23,4515818.282,편의점
SFT0028363,편의점(509010),CU,서울특별시 마포구 양화로6길 67,서울특별시 마포구 서교동 399-24,,,14128445.36,4515866.783,편의점
SFT0028500,편의점(509010),한샘아현키친프라자점,서울특별시 마포구 마포대로 262,서울특별시 마포구 아현동 692,,,14133028.97,4516963.804,편의점
SFT0028507,편의점(509010),GS리테일GS25월드컵,서울특별시 마포구 월드컵로 240,서울특별시 마포구 성산동 515,,,14126138.08,4518615.885,편의점
SFT0028510,편의점(509010),CU,서울특별시 마포구 상암산로1길 69,서울특별시 마포구 상암동 1687,,,14124599.95,4520280.817,편의점
SFT0028527,편의점(509010),세븐일레븐마포성산점,서울특별시 마포구 성미산로 23,서울특별시 마포구 성산동 245-31,,,14127651.84,4517274.609,편의점
SFT0028532,편의점(509010),GS25,서울특별시 마포구 매봉산로 75,서울특별시 마포구 상암동 1610,,,14125651.31,4520043.984,편의점
SFT0028553,편의점(509010),GS25,서울특별시 마포구 월드컵로 196,서울특별시 마포구 성산동 591-4,,,14126747.37,4518125.739,편의점
SFT0028556,편의점(509010),세븐일레븐,서울특별시 마포구 신촌로6길 24,서울특별시 마포구 동교동 177-13,,,14129753.51,4516934.456,편의점
SFT0028557,편의점(509010),GS25,서울특별시 마포구 마포대로 115-8,서울특별시 마포구 공덕동 371,,,14132076.65,4515474.192,편의점
SFT0028668,편의점(509010),세븐일레븐마포토정로점,서울특별시 마포구 토정로32길 12,서울특별시 마포구 토정동 3-17,,,14130979.37,4514692.697,편의점
SFT0028671,편의점(509010),CU,서울특별시 마포구 월드컵북로47길 37,서울특별시 마포구 상암동 1641,,,14125359.5,4519352.054,편의점
SFT0028703,편의점(509010),CU,서울특별시 마포구 상암산로1길 24,서울특별시 마포구 상암동 1655,,,14125254.36,4519932.968,편의점
SFT0028710,편의점(509010),GS25,서울특별시 마포구 광성로4길 11-10,서울특별시 마포구 신수동 88-16,,,14130669.02,4515966.89,편의점
SFT0028737,편의점(509010),위드미성산월드점,서울특별시 마포구 새터산길 1,서울특별시 마포구 성산동 200-361,,,14127237.32,4518144.126,편의점
SFT0028866,편의점(509010),CU,서울특별시 마포구 월드컵북로 347,서울특별시 마포구 상암동 115-11,,,14125686.28,4519748.248,편의점
SFT0028871,편의점(509010),GS25,서울특별시 마포구 월드컵북로6길 69,서울특별시 마포구 연남동 567-11,,,14128863.56,4517415.169,편의점
SFT0028875,편의점(509010),세븐일레븐401F41메세나폴리스몰점,서울특별시 마포구 양화로 45,서울특별시 마포구 서교동 490,,,14127994.89,4516258.821,편의점
SFT0028890,편의점(509010),CU마포인텔리안점,서울특별시 마포구 마포대로 208,서울특별시 마포구 아현동 733,,,14132769.34,4516401.686,편의점
SFT0029047,편의점(509010),씨앤씨유통,서울특별시 마포구 잔다리로 94,서울특별시 마포구 서교동 459-9,,,14128160.75,4516845.268,편의점
SFT0029077,편의점(509010),CU,서울특별시 마포구 광성로 17,서울특별시 마포구 신수동 462,,,14130395.58,4516083.973,편의점
SFT0029193,편의점(509010),CU,서울특별시 마포구 망원로 95,서울특별시 마포구 망원동 483-22,,,14127254.92,4517168.759,편의점
SFT0029197,편의점(509010),인더라인25시,서울특별시 마포구 마포대로14길 9,서울특별시 마포구 공덕동 105-237,,,14132655.56,4515867.786,편의점
SFT0029214,편의점(509010),CU,서울특별시 마포구 월드컵로29길 58,서울특별시 마포구 망원동 433-6,,,14126791.93,4517327.831,편의점
SFT0029221,편의점(509010),CU,서울특별시 마포구 마포대로11길 46,서울특별시 마포구 공덕동 182-13,,,14132199.71,4515963.902,편의점
SFT0029434,편의점(509010),CU,서울특별시 마포구 만리재옛길 66-1,서울특별시 마포구 공덕동 21-4,,,14132929.28,4515950.539,편의점
SFT0029477,편의점(509010),세븐일레븐,서울특별시 마포구 성미산로 142,서울특별시 마포구 연남동 252-1,,,14128925.31,4517966.303,편의점
SFT0029598,편의점(509010),엔씨유통,서울특별시 마포구 양화진길 51,서울특별시 마포구 합정동 376-13,,,14127796.6,4515536.664,편의점
SFT0029605,편의점(509010),CU홍익인간점,서울특별시 마포구 양화로 183,서울특별시 마포구 동교동 155-27,,,14129241.22,4517223.393,편의점
SFT0029608,편의점(509010),GS25,서울특별시 마포구 독막로2길 13,서울특별시 마포구 합정동 366-2,,,14128089.98,4515767.786,편의점
SFT0029609,편의점(509010),지에스25내,서울특별시 마포구 성산로 124,서울특별시 마포구 성산동 275-1,,,14127276.89,4517991.477,편의점
SFT0029656,편의점(509010),GS25,서울특별시 마포구 백범로 135,서울특별시 마포구 염리동 148-9,,,14131573.47,4515522.938,편의점
SFT0029803,편의점(509010),GS25,서울특별시 마포구 토정로 136,서울특별시 마포구 상수동 271,,,14129371.74,4515385.328,편의점
SFT0029808,편의점(509010),CU,서울특별시 마포구 월드컵북로16길 14,서울특별시 마포구 성산동 113-3,,,14128122.79,4517845.678,편의점
SFT0029843,편의점(509010),세븐일레븐용강점,서울특별시 마포구 대흥로 36,서울특별시 마포구 용강동 494-10,,,14130751.94,4515202.452,편의점
SFT0029851,편의점(509010),인더라인25,서울특별시 마포구 마포나루길 407,서울특별시 마포구 망원동 205-5,,,14125768.02,4516860.285,편의점
SFT0030006,편의점(509010),CU,서울특별시 마포구 도화2안길 9-1,서울특별시 마포구 도화동 7-8,,,14131896.32,4514585.387,편의점
SFT0030029,편의점(509010),GS25,서울특별시 마포구 월드컵로 240,서울특별시 마포구 성산동 515,,,14126138.08,4518615.885,편의점
SFT0030032,편의점(509010),CU공덕삼성점,서울특별시 마포구 백범로37길 12,서울특별시 마포구 신공덕동 155,,,14132548.87,4515149.294,편의점
SFT0030171,편의점(509010),지에스마포사랑,서울특별시 마포구 마포대로4라길 32,서울특별시 마포구 마포동 292-64,,,14131598.07,4514221.525,편의점
SFT0030176,편의점(509010),씨유홍대학사,서울특별시 마포구 독막로19길 42-18,서울특별시 마포구 상수동 88-5,,,14129113.82,4516019.978,편의점
SFT0030191,편의점(509010),CU,서울특별시 마포구 포은로 27,서울특별시 마포구 합정동 395-1,,,14127345.68,4516075.412,편의점
SFT0030204,편의점(509010),세븐일레븐마포KCC웰츠타워점,서울특별시 마포구 백범로 202,서울특별시 마포구 신공덕동 171,,,14132281.72,4515043.841,편의점
SFT0030211,편의점(509010),이마트,서울특별시 마포구 성미산로 91,서울특별시 마포구 성산동 624-19,,,14128404.99,4517630.041,편의점
SFT0030217,편의점(509010),GS25,서울특별시 마포구 월드컵북로12안길 74,서울특별시 마포구 성산동 49-1,,,14127925.63,4518116.711,편의점
SFT0030230,편의점(509010),CU,서울특별시 마포구 서강로 136,서울특별시 마포구 노고산동 106-5,,,14130426.12,4516615.696,편의점
SFT0030257,편의점(509010),세븐일레븐홍대신화점,서울특별시 마포구 홍익로 10,서울특별시 마포구 서교동 486,,,14129086.12,4516571.275,편의점
SFT0030362,편의점(509010),CU,서울특별시 마포구 서강대길 12,서울특별시 마포구 신수동 27-2,,,14130884.71,4515942.767,편의점
SFT0030392,편의점(509010),세븐일레븐,서울특별시 마포구 성미산로23길 16-5,서울특별시 마포구 연남동 246-19,,,14128823.12,4518087.867,편의점
SFT0030406,편의점(509010),GS25,서울특별시 마포구 연희로1길 45,서울특별시 마포구 연남동 383-38,,,14129327.66,4517598.915,편의점
SFT0030418,편의점(509010),미니스톱상암센트럴점,서울특별시 마포구 월드컵북로 375,서울특별시 마포구 상암동 1654,,,14125422.4,4519896.993,편의점
