정류장번호,정류장명,위도,경도,정보수집일시,모바일단축번호,도시코드,도시명,관리도시명
GGB101000073,을지로6가.국립중앙의료원,37.5665,127.0058333,2.0221E+13,2172,11,서울특별시,경기도
GGB101000075,동대문역사문화공원,37.5672833,127.0088,2.0221E+13,2174,11,서울특별시,경기도
GGB101000077,충무아트센터.스포츠센터.중부소방서,37.5652333,127.0140333,2.0221E+13,2177,11,서울특별시,경기도
GGB101000078,충무아트센터.스포츠센터.중부소방서,37.5650667,127.0147333,2.0221E+13,2178,11,서울특별시,경기도
GGB101000079,성동공업고등학교.무궁화회관,37.5683667,127.0157833,2.0221E+13,2179,11,서울특별시,경기도
GGB101000081,신당역.중앙시장앞,37.5657667,127.0187333,2.0221E+13,2181,11,서울특별시,경기도
GGB101000082,신당역.중앙시장앞,37.56555,127.0194333,2.0221E+13,2182,11,서울특별시,경기도
GGB101000083,성동고등학교,37.5656,127.02205,2.0221E+13,2183,11,서울특별시,경기도
GGB101000084,성동고등학교,37.56525,127.0225333,2.0221E+13,2184,11,서울특별시,경기도
GGB101000113,남대문경찰서,37.5540333,126.9737167,2.0221E+13,2218,11,서울특별시,경기도
GGB101000114,남대문시장앞.이회영활동터,37.5610167,126.9787333,2.0221E+13,2219,11,서울특별시,경기도
GGB101000128,신한은행본점,37.5611167,126.9755167,2.0221E+13,2233,11,서울특별시,경기도
GGB101000130,동대문역사문화공원,37.5654833,127.0091167,2.0221E+13,2235,11,서울특별시,경기도
GGB101000141,을지로입구역.광교,37.5675333,126.9824667,2.0221E+13,2246,11,서울특별시,경기도
GGB101000147,도로교통공단앞,37.56495,127.02485,2.0221E+13,2252,11,서울특별시,경기도
GGB101000148,명동입구,37.5646833,126.9826,2.0221E+13,2253,11,서울특별시,경기도
GGB101000163,방산종합시장,37.5678333,127.0019167,2.0221E+13,2272,11,서울특별시,경기도
GGB101000250,서울역,37.55815,126.97135,2.0221E+13,2685,11,서울특별시,경기도
GGB101000254,한국은행.신세계앞,37.56145,126.9792833,2.0221E+13,2278,11,서울특별시,경기도
GGB101000262,서대문역사거리.농협중앙회,37.5668,126.9679167,2.0221E+13,2281,11,서울특별시,경기도
GGB101000263,서울스퀘어앞,37.5553833,126.9732667,2.0221E+13,2282,11,서울특별시,경기도
GGB101000264,북창동.남대문시장,37.5609667,126.9771667,2.0221E+13,2283,11,서울특별시,경기도
GGB101000269,서울역,37.55805,126.97205,2.0221E+13,2694,11,서울특별시,경기도
GGB101000290,시청앞.덕수궁,37.56625,126.9768833,2.0221E+13,2286,11,서울특별시,경기도
GGB101000292,남대문세무서.국가인권위원회,37.5652333,126.9878,2.0221E+13,2287,11,서울특별시,경기도
GGB101000303,서울시청,37.56615,126.9807667,2.0221E+13,2100,11,서울특별시,경기도
GGB101000304,서대문역사거리(중),37.5655,126.9664833,2.0221E+13,13047,11,서울특별시,경기도
GGB101000305,서대문역사거리(중),37.5661833,126.9668833,2.0221E+13,1006,11,서울특별시,경기도
GGB101000307,청계2가교차로,37.5685333,126.98785,2.0221E+13,1237,11,서울특별시,경기도
GGB101000328,남산1호터널,37.5574,126.9922,2.0221E+13,0,11,서울특별시,경기도
GGB101000329,숭례문(경유),37.5598,126.9744667,2.0221E+13,2099,11,서울특별시,경기도
GGB101900006,프레스센터,37.5675,126.97735,2.0221E+13,2507,11,서울특별시,경기도
GGB102000001,한강대교북단.LG유플러스(중),37.5241333,126.9631833,2.0221E+13,3001,11,서울특별시,경기도
GGB102000002,한강대교북단.LG유플러스(중),37.52435,126.9631833,2.0221E+13,3002,11,서울특별시,경기도
GGB102000003,신용산역(중),37.5272833,126.9662,2.0221E+13,3003,11,서울특별시,경기도
GGB102000004,신용산역(중),37.5279667,126.9666167,2.0221E+13,3004,11,서울특별시,경기도
GGB102000005,KT용산지사(중),37.5315333,126.9702333,2.0221E+13,3005,11,서울특별시,경기도
GGB102000006,KT용산지사(중),37.5320833,126.9705667,2.0221E+13,3006,11,서울특별시,경기도
GGB102000007,삼각지역(중),37.5353,126.974,2.0221E+13,3007,11,서울특별시,경기도
GGB102000008,삼각지역(중),37.5360167,126.97415,2.0221E+13,3008,11,서울특별시,경기도
GGB102000009,숙대입구역(중),37.5433333,126.9725333,2.0221E+13,3009,11,서울특별시,경기도
GGB102000010,숙대입구역(중),37.5438,126.9722333,2.0221E+13,3010,11,서울특별시,경기도
GGB102000011,갈월동(중),37.5510167,126.9722333,2.0221E+13,3011,11,서울특별시,경기도
GGB102000012,갈월동(중),37.5495667,126.9717,2.0221E+13,3012,11,서울특별시,경기도
GGB102000018,남영역,37.54205,126.9719167,2.0221E+13,3110,11,서울특별시,경기도
GGB102000026,신용산역3번출구,37.5288333,126.9673,2.0221E+13,3119,11,서울특별시,경기도
GGB102000030,서계동,37.5525167,126.9693333,2.0221E+13,3124,11,서울특별시,경기도
GGB102000032,청파동,37.54885,126.9701333,2.0221E+13,3126,11,서울특별시,경기도
GGB102000034,숙대입구역.청파동주민센터,37.5454167,126.9707667,2.0221E+13,3128,11,서울특별시,경기도
GGB102000036,남영역,37.5409,126.9710167,2.0221E+13,3130,11,서울특별시,경기도
