SAFETY_SORT,SAFETY_GUBUN,SAFETY_CODE,SAFETY_NM,SAFETY_ADDR,SAFETY_EMD,SAFETY_LON,SAFETY_LAT,SAFETY_X,SAFETY_Y
safe,아동복지관,아동안전지킴이집(504040),성서문구,서울특별시 마포구 성산로4길 46 (성산동),서울특별시 마포구 성산동 81-107,,,14127471.27,4517936.771
safe,아동복지관,아동안전지킴이집(504040),이마트24(성산아이파크점),서울특별시 마포구 모래내로9길 6 (성산동),서울특별시 마포구 성산동 667,,,14128053.12,4518509.17
safe,아동복지관,아동안전지킴이집(504040),세븐일레븐(마포구청점),서울특별시 마포구 월드컵로 204 (성산동),서울특별시 마포구 성산동 591 -1,,,14126678.13,4518203.348
safe,아동복지관,아동안전지킴이집(504040),대박부동산,서울특별시 마포구 월드컵북로 502-36 (상암동),서울특별시 마포구 상암동 1736,,,14124451.02,4521019.413
safe,아동복지관,아동안전지킴이집(504040),아이스타안경원,서울특별시 마포구 월드컵북로 348 (상암동),서울특별시 마포구 상암동 41,,,14125718.12,4519801.74
safe,아동복지관,아동안전지킴이집(504040),크린토피아 코인워시(상암dmc점),서울특별시 마포구 월드컵북로 350 (상암동),서울특별시 마포구 상암동 41-16,,,14125696.55,4519815.407
safe,아동복지관,아동안전지킴이집(504040),월드컵파크세탁소,서울특별시 마포구 상암산로1길 57 (상암동),서울특별시 마포구 상암동 1689,,,14124685.93,4520233.704
safe,아동복지관,아동안전지킴이집(504040),GS25(상암9단지점),서울특별시 마포구 월드컵북로 501 (상암동),서울특별시 마포구 상암동 1752,,,14124063.57,4520743.915
public,공공기관,공공기관(501010),서울창전동우체국,서울특별시 마포구 독막로 109,null,,,14129299.03,4515779.835
public,공공기관,공공기관(501010),서울망원동우체국,서울특별시 마포구 월드컵로 111,null,,,14127317.37,4517199.207
public,공공기관,공공기관(501010),마포구청,서울특별시 마포구 월드컵로 212 (성산동),null,,,14126548.87,4518275.87
safe,아동복지관,아동안전지킴이집(504040),학생의집 서점(성사문구),서울특별시 마포구 모래내로9길 24 (성산동),서울특별시 마포구 성산동 134 -18,,,14127772.29,4518603.351
health,노인복지관,방문요양(513081),늘사랑재가복지센터,서울특별시 마포구 손기정로 11,서울특별시 마포구 아현동 699-6,,,14133237.53,4517110.979
health,노인복지관,방문요양(513081),해바라기재가복지센터,서울특별시 마포구 마포대로24길 51,서울특별시 마포구 아현동 395-1,,,14133349.72,4516303.757
health,노인복지관,주야간보호서비스(513044),초록숲데이케어센터,서울특별시 마포구 마포대로11길 44-81,서울특별시 마포구 아현동 770,,,14132153.64,4516348.619
health,노인복지관,방문목욕서비스(513042),재단법인서울특별시 사회서비스원마포종합재가센터,서울특별시 마포구 마포대로11길 44-81,서울특별시 마포구 아현동 770,,,14132153.64,4516348.619
health,노인복지관,주야간보호서비스(513044),아현실버데이 케어센터,서울특별시 마포구 환일길 3,서울특별시 마포구 아현동 710,,,14133158.3,4517098.72
health,노인복지관,주야간보호서비스(513044),아현 노인복지센터,서울특별시 마포구 마포대로26길 19,서울특별시 마포구 아현동 85-238,,,14132983.22,4516750.097
health,노인복지관,방문목욕(513082),늘사랑재가복지센터,서울특별시 마포구 손기정로 11,서울특별시 마포구 아현동 699-6,,,14133237.53,4517110.979
health,노인복지관,방문목욕(513082),해바라기재가복지센터,서울특별시 마포구 마포대로24길 51,서울특별시 마포구 아현동 395-1,,,14133349.72,4516303.757
health,노인복지관,방문요양서비스(513041),재단법인서울특별시 사회서비스원마포종합재가센터,서울특별시 마포구 마포대로11길 44-81,서울특별시 마포구 아현동 770,,,14132153.64,4516348.619
health,노인복지관,방문요양(513081),(사)대한장애인복지협회재가노인복지센터,서울특별시 마포구 만리재로 14,서울특별시 마포구 공덕동 456,,,14132326.32,4515205.634
health,노인복지관,노인요양공동생활가정(513022),설화요양원,서울특별시 마포구 만리재로 115,서울특별시 마포구 공덕동 30-3,,,14133194.37,4516109.723
health,노인복지관,방문목욕(513082),한가족방문요양센터,서울특별시 마포구 만리재로 115,서울특별시 마포구 공덕동 30-3,,,14133194.37,4516109.723
health,노인복지관,주야간보호서비스(513044),마포노인복지센터,서울특별시 마포구 만리재옛12길 6-2,서울특별시 마포구 공덕동 26-12,,,14133059.34,4516017.137
health,노인복지관,방문요양서비스(513041),마포노인복지센터,서울특별시 마포구 만리재로 99,서울특별시 마포구 공덕동 17-60,,,14133082.91,4515936.43
health,노인복지관,방문목욕(513082),(사)대한장애인복지협회재가노인복지센터,서울특별시 마포구 만리재로 14,서울특별시 마포구 공덕동 456,,,14132326.32,4515205.634
health,노인복지관,방문목욕(513082),굿데이재가방문요양센터,서울특별시 마포구 마포대로 127,서울특별시 마포구 공덕동 404,,,14132247.31,4515514.682
health,노인복지관,방문요양(513081),한가족방문요양센터,서울특별시 마포구 만리재로 115,서울특별시 마포구 공덕동 30-3,,,14133194.37,4516109.723
health,노인복지관,방문요양(513081),설화재가복지센터,서울특별시 마포구 만리재로 115,서울특별시 마포구 공덕동 30-3,,,14133194.37,4516109.723
health,노인복지관,방문요양(513081),굿데이재가방문요양센터,서울특별시 마포구 마포대로 127,서울특별시 마포구 공덕동 404,,,14132247.31,4515514.682
health,노인복지관,방문요양(513081),(A+)한겨레실버 방문요양센터,서울특별시 마포구 마포대로 182-10,서울특별시 마포구 공덕동 105-155,,,14132671.93,4516076.081
health,노인복지관,방문요양(513081),#NAME?,서울특별시 마포구 마포대로 127,서울특별시 마포구 공덕동 404,,,14132247.31,4515514.682
health,노인복지관,방문목욕(513082),설화재가복지센터,서울특별시 마포구 만리재로 115,서울특별시 마포구 공덕동 30-3,,,14133194.37,4516109.723
health,노인복지관,방문목욕(513082),(A+)한겨레실버 방문요양센터,서울특별시 마포구 마포대로 182-10,서울특별시 마포구 공덕동 105-155,,,14132671.93,4516076.081
health,노인복지관,노인요양시설(513021),마포노인복지센터,서울특별시 마포구 만리재옛12길 6-2,서울특별시 마포구 공덕동 26-12,,,14133059.34,4516017.137
health,노인복지관,복지용구(513086),(A+)한겨레실버 복지용구센터,서울특별시 마포구 마포대로 182-10,서울특별시 마포구 공덕동 105-155,,,14132671.93,4516076.081
health,노인복지관,방문요양(513081),행복한 시니어 재가센터,서울특별시 마포구 마포대로6길 30,서울특별시 마포구 공덕동 256-5,,,14132426.64,4515361.084
health,노인복지관,방문요양(513081),밝은샘 장기요양센터,서울특별시 마포구 만리재로 74,서울특별시 마포구 신공덕동 159,,,14132923.43,4515546.273
health,노인복지관,방문목욕(513082),밝은샘 장기요양센터,서울특별시 마포구 만리재로 74,서울특별시 마포구 신공덕동 159,,,14132923.43,4515546.273
health,노인복지관,방문목욕(513082),도화재가방문센터,서울특별시 마포구 도화2길 63,서울특별시 마포구 도화동 347-109,,,14132041.83,4514394.109
health,노인복지관,방문목욕(513082),(A)비지팅엔젤스재가복지마포공덕지점,서울특별시 마포구 마포대로 52,서울특별시 마포구 도화동 36,,,14131748.79,4514693.152
health,노인복지관,방문요양(513081),느티나무 방문요양센터,서울특별시 마포구 마포대로 52,서울특별시 마포구 도화동 36,,,14131748.79,4514693.152
health,노인복지관,방문목욕(513082),하늘꿈실버재가요양센터,서울특별시 마포구 도화2길 28,서울특별시 마포구 도화동 347-71,,,14131942.97,4514562.505
health,노인복지관,방문요양(513081),(A)비지팅엔젤스재가복지마포공덕지점,서울특별시 마포구 마포대로 52,서울특별시 마포구 도화동 36,,,14131748.79,4514693.152
health,노인복지관,방문요양(513081),이로운 재가요양센터,서울특별시 마포구 독막로 331,서울특별시 마포구 도화동 553,,,14131941.21,4515060.899
health,노인복지관,방문요양(513081),하늘꿈실버재가요양센터,서울특별시 마포구 도화2길 28,서울특별시 마포구 도화동 347-71,,,14131942.97,4514562.505
